Customer Name;Customer_ID;DOB;Gender;City
xuguk;950694369;1974-12-26 00:00:00;M;Hyderabad
jefex;615706054;1955-08-17 00:00:00;F;Jaipur
wiyuv;835551935;1954-04-09 00:00:00;F;Hyderabad
rowap;419472292;1987-06-14 00:00:00;M;Bangalore
litof;146624554;1989-06-24 00:00:00;F;Chandigarh
cavov;506980793;2007-09-24 00:00:00;M;Kanpur
bikad;352864508;2005-01-19 00:00:00;F;Kanpur
tecoy;695439548;1952-02-18 00:00:00;F;Dehradun
tetim;280514777;2004-02-17 00:00:00;F;Mangalore
vekuy;236940536;1974-11-21 00:00:00;M;Kanpur
ducim;849848630;1981-05-12 00:00:00;F;Shimla
tagaf;903939528;2005-12-17 00:00:00;M;Gurugram
liqir;570654097;1964-03-17 00:00:00;M;Mumbai
pamin;597079994;1976-05-01 00:00:00;M;Gurugram
dulun;241894340;1987-02-11 00:00:00;F;Jaipur
rulic;830477271;1952-06-16 00:00:00;F;Chennai
yutev;229478479;1990-11-14 00:00:00;F;Hyderabad
jujec;446762156;1967-03-05 00:00:00;M;Noida
logoy;233016013;1991-09-19 00:00:00;F;Gurugram
diwus;754405083;2006-10-01 00:00:00;F;Dehradun
yapad;425040275;1956-11-27 00:00:00;M;Delhi
jahor;789713379;1953-04-03 00:00:00;F;Orissa
hedej;834844822;1974-12-01 00:00:00;M;Gurugram
tetug;567859674;1956-04-24 00:00:00;M;Gurugram
wodoc;704882574;1991-03-06 00:00:00;F;Shimla
hoxiz;743955013;1992-07-19 00:00:00;M;Orissa
tuzeg;12006374;1970-08-21 00:00:00;F;Dehradun
hohet;791709852;1986-05-23 00:00:00;M;Kanpur
suqed;282869098;1954-02-12 00:00:00;M;Chennai
jehoh;534083834;1961-02-07 00:00:00;F;Orissa
mijed;986380171;1964-09-17 00:00:00;M;Jaipur
kihix;924907694;1969-12-03 00:00:00;F;Dehradun
zewov;493686428;1986-05-10 00:00:00;F;Bangalore
yibiq;465314158;1976-12-16 00:00:00;F;Kanpur
haxur;997795465;1979-11-17 00:00:00;M;Kanpur
venaz;135718480;1950-11-27 00:00:00;M;Noida
getuy;78121056;1969-10-14 00:00:00;M;Orissa
wotil;729377624;1981-11-10 00:00:00;M;Orissa
nokaz;155847003;1966-04-26 00:00:00;F;Delhi
sitac;882528580;1968-02-26 00:00:00;M;Shimla
vudof;233032389;1978-12-03 00:00:00;F;Chandigarh
xucuy;507976158;2005-06-13 00:00:00;M;Kanpur
barur;900199507;1954-02-02 00:00:00;F;Chandigarh
vokos;44673468;2001-02-12 00:00:00;M;Hyderabad
hetec;121613517;1974-06-14 00:00:00;M;Kanpur
nupiz;657026314;1959-02-16 00:00:00;F;Chandigarh
romow;787401326;1990-05-04 00:00:00;F;Delhi
bikop;327911594;1954-02-16 00:00:00;F;Chandigarh
sehob;174535964;1964-02-14 00:00:00;F;Bangalore
pohud;630326076;1961-11-20 00:00:00;M;Noida
kohek;778606535;1974-01-24 00:00:00;F;Mumbai
dudid;827602413;1956-07-21 00:00:00;F;Mumbai
kukiw;24838067;1984-12-27 00:00:00;F;Noida
jeluc;953551043;1971-07-12 00:00:00;M;Jaipur
hamoz;791517365;2002-01-12 00:00:00;M;Mangalore
